stock_id,year,make,model,trim,price,miles,body,drivetrain,transmission,fuel,color,seats,mpg_city,mpg_hwy,features,image_url
DEMO-1000,2021,Toyota,Camry,Premium,23500,22772,Sedan,FWD,Automatic,Gasoline,Beige,5,23,30,"Android Auto, Blind-spot monitor, CarPlay, Remote start, Wireless charging",https://images.unsplash.com/photo-1621993202323-f438eec934ff?auto=format&fit=crop&w=800&q=80
DEMO-1001,2017,Toyota,RAV4,Sport,19000,34544,SUV,AWD,CVT,Hybrid,White,5,42,37,"3rd-row, Adaptive cruise, Alloy wheels, Android Auto, Blind-spot monitor, CarPlay, Heated seats, Lane keep assist, Sunroof",https://images.unsplash.com/photo-1609521263047-f8f205293f24?auto=format&fit=crop&w=800&q=80
DEMO-1002,2025,Toyota,Highlander,Limited,30000,43433,SUV,FWD,CVT,Gasoline,Gray,5,31,38,"Adaptive cruise, Android Auto, Backup camera, Blind-spot monitor, Bluetooth, Heated seats, Lane keep assist, Ventilated seats, Wireless charging",https://images.unsplash.com/photo-1625395005224-0fce68a3cdc8?auto=format&fit=crop&w=800&q=80
DEMO-1003,2020,Toyota,Tacoma,Limited,29250,35561,Truck,4WD,CVT,Gasoline,Blue,5,18,28,"Alloy wheels, Android Auto, Backup camera, Blind-spot monitor, Bluetooth, Lane keep assist, Navigation, Premium audio, Tow package, Ventilated seats",https://images.unsplash.com/photo-1612544448445-b8232cff3b6c?auto=format&fit=crop&w=800&q=80
DEMO-1004,2018,Honda,Civic,Sport,15000,67089,Sedan,FWD,CVT,Gasoline,Red,5,29,38,"Android Auto, Heated seats, Premium audio, Remote start, Sunroof, Tow package, Ventilated seats",https://images.unsplash.com/photo-1590362891991-f776e747a588?auto=format&fit=crop&w=800&q=80
DEMO-1005,2016,Honda,Accord,SE,9000,98834,Sedan,4WD,CVT,Gasoline,Green,5,22,27,"Adaptive cruise, Android Auto, Backup camera, CarPlay, Navigation, Premium audio, Remote start",https://images.unsplash.com/photo-1619682817481-e994891cd1f5?auto=format&fit=crop&w=800&q=80
DEMO-1006,2018,Honda,CR-V,Sport,14500,99778,SUV,AWD,Automatic,Gasoline,Silver,5,25,30,"Alloy wheels, Backup camera, Blind-spot monitor, Bluetooth, Lane keep assist, Remote start, Sunroof, Tow package, Wireless charging",https://images.unsplash.com/photo-1568844293986-8c4a3e33f5ea?auto=format&fit=crop&w=800&q=80
DEMO-1007,2018,Honda,Pilot,Base,21500,22830,SUV,AWD,CVT,Gasoline,Silver,5,33,43,"Bluetooth, Heated seats, Remote start, Sunroof, Tow package",https://images.unsplash.com/photo-1616422285623-13ff0162193c?auto=format&fit=crop&w=800&q=80
DEMO-1008,2023,Ford,F-150,Limited,26500,117161,Truck,4WD,Manual,Gasoline,Green,5,18,22,"3rd-row, Adaptive cruise, Alloy wheels, Android Auto, Backup camera, HUD, Leather, Premium audio, Tow package, Ventilated seats",https://images.unsplash.com/photo-1574693485476-7e6e4254c098?auto=format&fit=crop&w=800&q=80
DEMO-1009,2025,Ford,Escape,Sport,33000,9891,SUV,FWD,Manual,Hybrid,Black,7,53,55,"3rd-row, Backup camera, Lane keep assist, Navigation, Remote start, Sunroof",https://images.unsplash.com/photo-1609521263047-f8f205293f24?auto=format&fit=crop&w=800&q=80
DEMO-1010,2023,Ford,Mustang,Limited,22750,64078,Coupe,AWD,Automatic,Gasoline,Silver,5,22,27,"Backup camera, Bluetooth, HUD, Lane keep assist, Ventilated seats",https://images.unsplash.com/photo-1584345604476-8ec5f27bf8d3?auto=format&fit=crop&w=800&q=80
DEMO-1011,2018,Ford,Explorer,Limited,15000,93448,SUV,AWD,CVT,Gasoline,Blue,5,34,39,"Backup camera, Lane keep assist, Remote start, Ventilated seats, Wireless charging",https://images.unsplash.com/photo-1570294820828-5230f2fc9717?auto=format&fit=crop&w=800&q=80
DEMO-1012,2019,Chevrolet,Silverado 1500,SE,23500,83377,Truck,RWD,Manual,Gasoline,Gray,5,20,27,"3rd-row, Backup camera, CarPlay, HUD, Remote start, Tow package, Ventilated seats, Wireless charging",https://images.unsplash.com/photo-1583267746897-2cf415887172?auto=format&fit=crop&w=800&q=80
DEMO-1013,2019,Chevrolet,Malibu,Base,14000,93770,Sedan,AWD,Manual,Gasoline,Red,5,25,32,"Adaptive cruise, Backup camera, HUD, Heated seats, Leather, Ventilated seats, Wireless charging",https://images.unsplash.com/photo-1552519507-da3b142c6e3d?auto=format&fit=crop&w=800&q=80
DEMO-1014,2023,Chevrolet,Tahoe,LX,23000,88587,SUV,FWD,Manual,Gasoline,Gray,5,33,37,"3rd-row, Adaptive cruise, Blind-spot monitor, Bluetooth, Heated seats, Tow package",https://images.unsplash.com/photo-1619976215249-0b4c3d7e9dd9?auto=format&fit=crop&w=800&q=80
DEMO-1015,2018,Chevrolet,Equinox,LX,21750,19651,SUV,4WD,CVT,Hybrid,Silver,5,41,36,"3rd-row, Bluetooth, CarPlay, HUD, Premium audio, Remote start, Sunroof, Ventilated seats, Wireless charging",https://images.unsplash.com/photo-1603386329225-868f9b1ee6ae?auto=format&fit=crop&w=800&q=80
DEMO-1016,2022,Nissan,Altima,Limited,16500,117261,Sedan,RWD,CVT,Gasoline,Gray,5,22,31,"Adaptive cruise, Blind-spot monitor, Bluetooth, Heated seats, Lane keep assist, Ventilated seats, Wireless charging",https://images.unsplash.com/photo-1580273916550-e323be2ae537?auto=format&fit=crop&w=800&q=80
